mof,1s,2s,3s,4s,5s,6s,2p,3p,4p,5p,3d,4d,5d,4f,metal,nlinker,linker1smi,linker2smi,temperature,time,oxidation_state,solvent1,solvent2,solvent3, additive
PENXUC_clean,2,2,2,2,0,0,6,6,0,0,3,0,0,0,V,1,O=P(O)(O)CCCP(=O)(O)O,O=P(O)(O)CCCP(=O)(O)O,200,48,3,962,0000,0000,0000
HAWREE_clean,2,2,2,2,0,0,6,6,0,0,5,0,0,0,Mn,1,O=C(O)c1ccc2nn[nH]c2c1,O=C(O)c1ccc2nn[nH]c2c1,200,72,2,6228,702,0000,0000
AXOHIE_clean,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,2,c1cc(-c2ccncc2)ccn1,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1,200,96,2,962,0000,0000,0000
XUGWAZ_clean,2,2,2,2,2,2,6,6,6,6,10,10,0,10,Dy,1,O=S(=O)(O)c1ccc(-c2c3ccc(n3)c(-c3ccc(S(=O)(=O)O)cc3)c3ccc([nH]3)c(-c3ccc(S(=O)(=O)O)cc3)c3ccc(n3)c(-c3ccc(S(=O)(=O)O)cc3)c3ccc2[nH]3)cc1,O=S(=O)(O)c1ccc(-c2c3ccc(n3)c(-c3ccc(S(=O)(=O)O)cc3)c3ccc([nH]3)c(-c3ccc(S(=O)(=O)O)cc3)c3ccc(n3)c(-c3ccc(S(=O)(=O)O)cc3)c3ccc2[nH]3)cc1,200,240,3,962,0000,0000,0000
UTULUR_SL_part,2,2,2,2,2,0,6,6,6,1,10,10,0,0,In,1,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,210,24,3,962,0000,0000,0000
MAYJOM_clean,2,2,2,2,2,0,6,6,6,1,10,10,0,0,In,1,O=C(O)c1ccc(C(=O)O)cc1,O=C(O)c1ccc(C(=O)O)cc1,220,72,3,962,0000,0000,0000
PUWXAH_clean,2,2,2,2,0,0,6,6,0,0,5,0,0,0,Mn,1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,220,72,2,962,0000,0000,14798
ADASEF_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(-c2ccc(-c3nnn[nH]3)cc2)c1,O=C(O)c1cc(C(=O)O)cc(-c2ccc(-c3nnn[nH]3)cc2)c1,75,40,2,6228,0000,0000,0000
AVUDAX_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,c1ncn(Cc2cc(Cn3cncn3)cc(Cn3cncn3)c2)n1,c1ncn(Cc2cc(Cn3cncn3)cc(Cn3cncn3)c2)n1,25,672,2,887,962,0000,0000
BAHGUN02_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccncc1,O=C(O)c1ccncc1,180,72,2,962,0000,0000,0000
BEXVEH_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,2,O=C(O)c1cc(COc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,O=C(O)c1cc(CCc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,80,48,2,31374,962,0000,944
BOWNUY_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,c1c(-c2nn[nH]n2)cc(-c2nnn[nH]2)cc1-c1nnn[nH]1,c1c(-c2nn[nH]n2)cc(-c2nnn[nH]2)cc1-c1nnn[nH]1,85,48,2,6228,0000,0000,944
BUQWER_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cccnc1,O=C(O)c1cccnc1,25,336,2,6228,0000,0000,313
CUGVUX_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,2,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,O=C(Nc1cccnc1)c1cnccn1,120,96,1,962,0000,0000,14798
